 1    68.4    18.8
 2   -23.8   133.9
 3  40.137 254.764
 4   58.07   38.23
 5  71.322 203.378
 6   -12.2    96.8
 7  48.025    2.26
 8  64.874  212.14
 9   -35.3   149.4
10   -66.3   110.5
11   -20.2   146.3
12  11.945 108.482
13  40.957   0.333
14   -43.4   172.4
15  38.205 282.627
16  37.091 240.282
17   -31.4   115.7
18  13.588 144.867
19    54.6    18.8
20  21.316     202
21   -12.7   132.5
22    5.21 307.269
23   -22.2   114.1
24    64.6    18.7
25    50.3     5.7
26   -67.6    62.9
27  14.392 343.042
28   -54.5   158.9
29    60.9   150.7
30  48.265 242.878
31  52.072  12.675
32    54.8    83.2
33      53   158.2
34   -77.8   166.8
35  55.348 199.538
36  57.058 224.674
37  18.113 293.849
38   44.68  26.253
39  22.792    5.53
40 -37.067 347.684
41  32.174 249.267
42    59.9    17.4
43   -22.4  316.35
44    47.9    15.9
45  53.725   9.053
